from,to,relationship,year
ab,bv,1,1967
ab,ge,3,1967
ab,ge,3,1968
ab,ge,3,1969
ab,ge,3,1970
ab,ge,3,1971
ab,ge,3,1972
ab,ge,3,1973
ab,ge,3,1974
ab,ge,3,1975
ab,ge,3,1976
ab,ge,3,1977
ab,ge,5,1968
ab,ge,5,1969
ab,ge,4,1969
ab,ge,4,1970
ab,aij,7,1970
ab,ge,5,1974
ab,ge,5,1975
ab,ge,5,1976
ab,ge,5,1977
ab,um,1,1968
ab,um,2,1969
ab,um,4,1970
ab,um,2,1970
ab,um,2,1971
ab,um,2,1972
ab,um,2,1973
ab,um,2,1974
ab,um,5,1974
ab,um,5,1975
ab,um,2,1975
ab,um,5,1976
ab,um,2,1976
ab,ap,4,1968
ab,ap,2,1968
ab,ap,5,1968
ab,ap,2,1969
ab,ap,5,1969
ab,ap,2,1970
ab,hom,2,1969
ab,hom,2,1970
ab,hom,6,1970
ab,ig,2,1970
ab,ig,4,1970
ab,bb,1,1969
ab,bb,5,1970
ab,bb,2,1970
ab,bb,1,1971
ab,jcr,2,1970
ab,jcr,4,1970
ab,jcr,6,1970
ab,jcr,1,1972
ab,jcr,5,1974
ab,jcr,5,1975
ab,jcr,5,1976
ab,jcr,5,1977
ab,hs,2,1968
ab,hs,5,1968
ab,hs,1,1969
ab,hs,5,1969
ab,is,4,1970
ab,is,2,1970
ab,is,5,1976
ab,is,5,1977
ab,hm,2,1970
ab,hm,2,1971
ab,hm,2,1972
ab,hm,5,1972
ab,sh,6,1972
ab,sh,6,1975
ab,os,6,1975
ab,os,1,1976
ab,os,1,1977
ab,kc,6,1974
ab,kc,6,1975
ab,arm,1,1975
ab,arm,1,1976
ab,arm,1,1977
ab,arn,1,1975
ab,arn,1,1976
ab,arn,1,1977
ab,im,5,1977
ab,bm,5,1976
ab,bm,5,1977
ab,bm,1,1977
ab,kbs,7,1968
ab,bef,7,1970
ab,bus,7,1972
ab,pda,7,1972
ab,tns,7,1977
ab,ejp,7,1977
ab,ash,7,1972
ab,esb,7,1977
ab,uqh,7,1972
ab,lka,7,1972
ge,um,1,1968
ge,um,2,1969
ge,um,2,1970
ge,um,4,1970
ge,aij,7,1970
ge,um,2,1971
ge,um,2,1972
ge,um,2,1973
ge,um,2,1974
ge,um,5,1974
ge,um,2,1975
ge,um,5,1975
ge,um,5,1976
ge,hs,2,1968
ge,hs,5,1968
ge,hs,5,1969
ge,ap,2,1968
ge,ap,4,1968
ge,ap,2,1969
ge,ap,2,1970
ge,hm,2,1970
ge,hm,2,1971
ge,hm,2,1972
ge,hm,5,1972
ge,jcr,2,1970
ge,jcr,4,1970
ge,jcr,6,1970
ge,jcr,1,1972
ge,jcr,5,1974
ge,jcr,5,1975
ge,jcr,5,1976
ge,jcr,5,1977
ge,is,2,1970
ge,is,4,1970
ge,is,5,1976
ge,is,5,1977
ge,ig,2,1970
ge,ig,4,1970
ge,ig,5,1976
ge,os,1,1968
ge,os,6,1972
ge,os,6,1975
ge,os,6,1976
ge,os,6,1977
ge,im,5,1977
ge,bv,3,1967
ge,kbs,7,1968
ge,bef,7,1970
ge,pda,7,1972
ge,bus,7,1972
ge,ash,7,1972
ge,tns,7,1977
ge,uqh,7,1972
ge,lka,7,1972
um,ap,1,1969
um,aij,7,1970
um,ap,5,1972
um,jcr,4,1969
um,jcr,2,1969
um,jcr,6,1970
um,jcr,4,1970
um,jcr,2,1970
um,jcr,5,1974
um,jcr,5,1975
um,jcr,5,1976
um,mh,2,1969
um,mh,4,1969
um,mh,2,1970
um,mh,4,1970
um,mh,6,1970
um,is,2,1970
um,is,4,1970
um,is,5,1976
um,ig,2,1970
um,ig,4,1970
um,ig,2,1971
um,gm,1,1971
um,gm,2,1972
um,bef,7,1970
um,ash,7,1972
um,zkh,7,1971
um,ash,7,1972
bm,ab,5,1976
bm,ge,5,1976
bm,jcr,5,1976
bm,vsp,1,1977
bm,evd,1,1977
bm,tib,7,1977
bm,kc,1,1977
bm,pjb,3,1977
bm,wah,1,1977
bm,ck,1,1977
bm,sa,1,1977
bm,bak,7,1977
bm,ejp,7,1977
bm,ugk,7,1981
bm,esb,7,1977
ph,um,2,1969
ph,um,4,1970
ph,hm,8,1970
ph,ab,8,1970
ph,ge,8,1970
ph,bak,8,1970
ph,aij,7,1970
ba,hom,2,1968
ba,hom,2,1969
ba,hom,2,1970
ba,aij,7,1970
ba,is,1,1970
ba,mb,1,1970
ba,ig,1,1970
ba,bef,7,1970
hb,aij,7,1970
hb,dsb,7,1970
hb,eg,2,1970
hb,hom,2,1970
hb,bef,7,1970
im,tns,7,1977
im,ab,5,1977
im,ge,5,1977
im,jcr,5,1977
im,hak,5,1979
im,bm,4,1968
im,bm,4,1969
im,bm,4,1970
im,rh,4,1998
im,rh,4,1969
im,rh,4,1970
im,kj,4,1972
ps,aij,7,1970
ps,bef,7,1970
ps,mg,4,1968
ps,mg,3,1968
ps,mg,3,1969
ps,mg,3,1970
ps,mg,3,1971
ps,um,2,1969
ps,um,2,1970
ps,hom,2,1969
ps,hom,2,1970
ps,ge,1,1969
ps,ab,1,1969
ps,wh,2,1970
ps,aij,7,1970
ap,bef,7,1970
ap,dsb,7,1970
ap,kbs,7,1968
ap,tw,4,1968
ap,ge,4,1968
ap,ab,4,1968
ap,pjb,4,1968
ap,tw,2,1969
ap,ab,2,1969
ap,ge,2,1969
ap,aij,7,1970
ap,brk,7,1971
hm,bus,7,1972
hm,pda,7,1972
hm,ab,2,1970
hm,jcr,2,1970
hm,ge,2,1970
hm,ab,2,1971
hm,ab,2,1972
hm,ge,2,1971
hm,ge,2,1972
hm,jcr,2,1972
hm,sh,6,1973
hm,ash,7,1972
hm,sh,6,1974
hm,uqh,7,1972
hm,brk,7,1971
hm,dsb,7,1970
ra,kc,6,1974
ra,kg,6,1974
ra,hcs,6,1974
ib,ge,2,1971
ib,wg,3,1971
mb,hom,2,1970
mb,bef,7,1970
mb,aij,7,1970
mb,ig,1,1970
mb,is,1,1970
mb,bak,1,1970
ig,bef,7,1970
ig,aij,7,1970
ig,dsb,7,1970
ig,ab,4,1970
ig,um,4,1970
ig,ge,4,1970
ig,is,4,1970
ig,hom,1,1971
wg,ib,3,1970
wg,ge,2,1971
eg,dsb,7,1970
eg,khr,2,1970
eg,hb,2,1970
eg,ab,1,1970
eg,hom,1,1970
eg,ig,1,1970
al,uqh,7,1972
al,vb,2,1970
al,ib,2,1971
al,iv,2,1971
al,wg,2,1971
hom,bef,7,1970
hom,ab,6,1968
hom,ap,2,1969
hom,ge,2,1969
hom,um,2,1969
hom,os,6,1970
hom,hcs,6,1970
gm,ab,1,1971
gm,ge,1,1971
gm,ms,1,1971
gm,um,2,1971
gm,ash,7,1972
gm,um,2,1972
gm,zkh,7,1971
